"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Unit in the Ministry of Health responsible for the management of medical devices","Published","2013","Americas","Uruguay","Yes","","","","","",""
"Type of nomenclature system","Published","2013","Europe","Poland","Based on GMDN (Global Medical Device Nomenclature)","","","","","",""
"Type of nomenclature system","Published","2013","Europe","Portugal","Based on GMDN (Global Medical Device Nomenclature)","","","","","",""
"Type of nomenclature system","Published","2013","Europe","Tajikistan","Based on GMDN (Global Medical Device Nomenclature)","","","","","",""
"Type of nomenclature system","Published","2013","Africa","United Republic of Tanzania","Based on GMDN (Global Medical Device Nomenclature)","","","","","",""
"Type of nomenclature system","Published","2013","Europe","Israel","Based on UMDNS (Universal Medical Device Nomenclature System)","","","","","",""
"Type of nomenclature system","Published","2013","Eastern Mediterranean","Jordan","Based on UMDNS (Universal Medical Device Nomenclature System)","","","","","",""
"Type of nomenclature system","Published","2013","Europe","Kyrgyzstan","Based on UMDNS (Universal Medical Device Nomenclature System)","","","","","",""
"Type of nomenclature system","Published","2013","Western Pacific","Lao People's Democratic Republic","Based on UMDNS (Universal Medical Device Nomenclature System)","","","","","",""
"Type of nomenclature system","Published","2013","Americas","Canada","Nationally developed","","","","","",""
"Type of nomenclature system","Published","2013","Americas","Colombia","Nationally developed","","","","","",""
"Type of nomenclature system","Published","2013","Americas","Costa Rica","Nationally developed","","","","","",""
"Type of nomenclature system","Published","2013","Americas","Cuba","Nationally developed","","","","","",""
"Type of nomenclature system","Published","2013","Eastern Mediterranean","Libya","Nationally developed","","","","","",""
"Type of nomenclature system","Published","2013","Africa","Madagascar","Nationally developed","","","","","",""
"Type of nomenclature system","Published","2013","Africa","Mali","Nationally developed","","","","","",""
"Type of nomenclature system","Published","2013","Americas","Mexico","Nationally developed","","","","","",""
"Type of nomenclature system","Published","2013","Europe","Slovenia","Nationally developed","","","","","",""
"Type of nomenclature system","Published","2013","Americas","Trinidad and Tobago","Nationally developed","","","","","",""
"Type of nomenclature system","Published","2013","Eastern Mediterranean","Tunisia","Nationally developed","","","","","",""
"Type of nomenclature system","Published","2013","Europe","Turkiye","Nationally developed","","","","","",""
"Use of nomenclature system","Published","2013","Americas","Belize","No","","","","","",""
"Use of nomenclature system","Published","2013","Africa","Benin","No","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Bosnia and Herzegovina","No","","","","","",""
"Use of nomenclature system","Published","2013","Western Pacific","Brunei Darussalam","No","","","","","",""
"Use of nomenclature system","Published","2013","Africa","Burkina Faso","No","","","","","",""
"Use of nomenclature system","Published","2013","Americas","Dominican Republic","No","","","","","",""
"Use of nomenclature system","Published","2013","Americas","Ecuador","No","","","","","",""
"Use of nomenclature system","Published","2013","Africa","Eritrea","No","","","","","",""
"Use of nomenclature system","Published","2013","Western Pacific","Fiji","No","","","","","",""
"Use of nomenclature system","Published","2013","Africa","Liberia","No","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Lithuania","No","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Luxembourg","No","","","","","",""
"Use of nomenclature system","Published","2013","Africa","Malawi","No","","","","","",""
"Use of nomenclature system","Published","2013","Eastern Mediterranean","Pakistan","No","","","","","",""
"Use of nomenclature system","Published","2013","Americas","Paraguay","No","","","","","",""
"Use of nomenclature system","Published","2013","Western Pacific","Philippines","No","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Republic of Moldova","No","","","","","",""
"Use of nomenclature system","Published","2013","South-East Asia","Thailand","No","","","","","",""
"Use of nomenclature system","Published","2013","South-East Asia","Timor-Leste","No","","","","","",""
"Use of nomenclature system","Published","2013","Africa","Togo","No","","","","","",""
"Use of nomenclature system","Published","2013","Western Pacific","Tonga","No","","","","","",""
"Type of nomenclature system","Published","2013","Africa","Benin","None","","","","","",""
"Type of nomenclature system","Published","2013","Europe","Bosnia and Herzegovina","None","","","","","",""
"Type of nomenclature system","Published","2013","Western Pacific","Brunei Darussalam","None","","","","","",""
"Type of nomenclature system","Published","2013","Africa","Burkina Faso","None","","","","","",""
"Type of nomenclature system","Published","2013","Americas","Ecuador","None","","","","","",""
"Type of nomenclature system","Published","2013","Africa","Eritrea","None","","","","","",""
"Type of nomenclature system","Published","2013","Western Pacific","Fiji","None","","","","","",""
"Type of nomenclature system","Published","2013","Africa","Gabon","None","","","","","",""
"Type of nomenclature system","Published","2013","Africa","Liberia","None","","","","","",""
"Type of nomenclature system","Published","2013","Europe","Lithuania","None","","","","","",""
"Type of nomenclature system","Published","2013","Europe","Luxembourg","None","","","","","",""
"Type of nomenclature system","Published","2013","Africa","Malawi","None","","","","","",""
"Type of nomenclature system","Published","2013","South-East Asia","Maldives","None","","","","","",""
"Type of nomenclature system","Published","2013","Eastern Mediterranean","Pakistan","None","","","","","",""
"Type of nomenclature system","Published","2013","Americas","Paraguay","None","","","","","",""
"Type of nomenclature system","Published","2013","Western Pacific","Philippines","None","","","","","",""
"Type of nomenclature system","Published","2013","Europe","Republic of Moldova","None","","","","","",""
"Type of nomenclature system","Published","2013","South-East Asia","Timor-Leste","None","","","","","",""
"Type of nomenclature system","Published","2013","Africa","Togo","None","","","","","",""
"Type of nomenclature system","Published","2013","Western Pacific","Tonga","None","","","","","",""
"Type of nomenclature system","Published","2013","Europe","Ukraine","None","","","","","",""
"Use of nomenclature system","Published","2013","Eastern Mediterranean","Egypt","Not specified","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Estonia","Not specified","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Finland","Not specified","","","","","",""
"Use of nomenclature system","Published","2013","Africa","Gambia","Not specified","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Latvia","Not specified","","","","","",""
"Use of nomenclature system","Published","2013","Africa","Madagascar","Not specified","","","","","",""
"Use of nomenclature system","Published","2013","Western Pacific","Malaysia","Not specified","","","","","",""
"Use of nomenclature system","Published","2013","Africa","Mali","Not specified","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Serbia","Not specified","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Slovakia","Not specified","","","","","",""
"Use of nomenclature system","Published","2013","Eastern Mediterranean","Somalia","Not specified","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Spain","Not specified","","","","","",""
"Use of nomenclature system","Published","2013","Africa","Ethiopia","Used for procurement","","","","","",""
"Use of nomenclature system","Published","2013","Americas","Grenada","Used for procurement","","","","","",""
"Use of nomenclature system","Published","2013","Western Pacific","Samoa","Used for procurement","","","","","",""
"Use of nomenclature system","Published","2013","Africa","Senegal","Used for procurement","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Monaco","Used for regulatory purposes","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Montenegro","Used for regulatory purposes","","","","","",""
"Use of nomenclature system","Published","2013","Americas","Nicaragua","Used for regulatory purposes","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Norway","Used for regulatory purposes","","","","","",""
"Use of nomenclature system","Published","2013","Europe","Slovenia","Used for regulatory purposes","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","South-East Asia","Bangladesh","For different healthcare facilities","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Americas","Belize","For different healthcare facilities","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Africa","Benin","For different healthcare facilities","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","South-East Asia","Bhutan","For different healthcare facilities","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Eastern Mediterranean","Jordan","For different healthcare facilities","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Europe","Kyrgyzstan","For different healthcare facilities","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Western Pacific","Lao People's Democratic Republic","For different healthcare facilities","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Eastern Mediterranean","Lebanon","For different healthcare facilities","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Africa","South Africa","For different healthcare facilities","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Eastern Mediterranean","Sudan","For different healthcare facilities","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Africa","Uganda","For different healthcare facilities","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Americas","Uruguay","For different healthcare facilities","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Americas","Cuba","For different healthcare facilities and specific procedures","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","South-East Asia","Democratic People's Republic of Korea","For different healthcare facilities and specific procedures","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Americas","Ecuador","For different healthcare facilities and specific procedures","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Eastern Mediterranean","Egypt","For different healthcare facilities and specific procedures","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Americas","El Salvador","For different healthcare facilities and specific procedures","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Africa","Mozambique","For different healthcare facilities and specific procedures","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","South-East Asia","Myanmar","For different healthcare facilities and specific procedures","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Americas","Nicaragua","For different healthcare facilities and specific procedures","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Europe","Norway","For different healthcare facilities and specific procedures","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Americas","Trinidad and Tobago","For different healthcare facilities and specific procedures","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Europe","Turkiye","For different healthcare facilities and specific procedures","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Europe","Ukraine","For different healthcare facilities and specific procedures","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Western Pacific","Vanuatu","For different healthcare facilities and specific procedures","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Europe","Albania","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Africa","Angola","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Americas","Antigua and Barbuda","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Americas","Antigua and Barbuda","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Western Pacific","Brunei Darussalam","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Europe","Bulgaria","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Europe","Bulgaria","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Western Pacific","Cambodia","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Africa","Congo","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Africa","Congo","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Americas","Costa Rica","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Africa","Cote d'Ivoire","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Europe","Finland","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Europe","Finland","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Europe","France","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Africa","Gambia","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Americas","Honduras","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Europe","Iceland","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Europe","Iceland","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","South-East Asia","Indonesia","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Eastern Mediterranean","Iraq","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Africa","Madagascar","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Western Pacific","Malaysia","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Western Pacific","Malaysia","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","South-East Asia","Maldives","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","South-East Asia","Nepal","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","South-East Asia","Nepal","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Europe","Netherlands (Kingdom of the)","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Europe","Netherlands (Kingdom of the)","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Americas","Saint Kitts and Nevis","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Americas","Saint Kitts and Nevis","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Americas","Saint Lucia","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Americas","Saint Lucia","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Europe","Slovakia","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Europe","Slovenia","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Western Pacific","Solomon Islands","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Africa","South Africa","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Africa","Uganda","No list available","","","","","",""
"Availability of national standards or recommended lists of medical devices","Published","2013","Africa","United Republic of Tanzania","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Africa","United Republic of Tanzania","No list available","","","","","",""
"Types of lists recommending health technology for high burden diseases","Published","2013","Americas","United States of America","No list available","","","","","",""
"Total density per 100 000 population: Health posts","Published","2013","Americas","Barbados","3.86","3.86448","","","","",""
"Total density per 100 000 population: Health posts","Published","2013","Europe","Belarus","15.36","15.35802","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","Americas","Belize","12.05","12.05182","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","South-East Asia","Bhutan","25.47","25.46598","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","Europe","Croatia","0.84","0.83922","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","Americas","Cuba","7.53","7.52732","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","Europe","Czechia","224.84","224.84169","","","","",""
"Total density per 100 000 population: Health posts","Published","2013","South-East Asia","Democratic People's Republic of Korea","25.16","25.15718","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","Americas","Grenada","34.00","33.99530","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","Americas","Guatemala","3.54","3.54275","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","Africa","Guinea","6.24","6.24085","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","Africa","Guinea-Bissau","5.63","5.63296","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","Eastern Mediterranean","Libya","29.25","29.25089","","","","",""
"Total density per 100 000 population: Health posts","Published","2013","Europe","Lithuania","21.01","21.01472","","","","",""
"Total density per 100 000 population: Health posts","Published","2013","Africa","Madagascar","12.96","12.96410","","","","",""
"Total density per 100 000 population: Health posts","Published","2013","Africa","Malawi","0.45","0.44614","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","South-East Asia","Nepal","2.51","2.51462","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","Americas","Nicaragua","14.64","14.63701","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","Africa","Niger","13.98","13.98106","","","","",""
"Total density per 100 000 population: Health posts","Published","2013","Eastern Mediterranean","Oman","2.78","2.78050","","","","","Only public sector data"
"Total density per 100 000 population: Health posts","Published","2013","Eastern Mediterranean","Pakistan","2.98","2.98118","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Africa","Sao Tome and Principe","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Americas","United States of America","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Western Pacific","Vanuatu","No","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","Albania","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Africa","Angola","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","Bulgaria","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Africa","Burkina Faso","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Africa","Burundi","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Western Pacific","Cambodia","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","South-East Asia","Democratic People's Republic of Korea","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Americas","Dominican Republic","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Americas","Ecuador","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Eastern Mediterranean","Egypt","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Africa","Eritrea","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","Ireland","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Americas","Jamaica","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","Kazakhstan","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Africa","Kenya","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Eastern Mediterranean","Morocco","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Africa","Mozambique","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","South-East Asia","Myanmar","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Africa","Namibia","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Western Pacific","Republic of Korea","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","Republic of Moldova","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","Romania","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Americas","Saint Kitts and Nevis","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Americas","Saint Vincent and the Grenadines","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Eastern Mediterranean","Tunisia","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Africa","Uganda","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","Ukraine","Yes","","","","","",""
"Procurement of medical devices carried out at the national level","Published","2013","Europe","United Kingdom of Great Britain and Northern Ireland","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Africa","Benin","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","Bolivia (Plurinational State of)","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Africa","Botswana","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Western Pacific","Brunei Darussalam","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Europe","Denmark","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","Dominica","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","Dominican Republic","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","Ecuador","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","Guyana","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","Haiti","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","Honduras","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Europe","Iceland","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","South-East Asia","Indonesia","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Africa","Mauritius","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Western Pacific","Micronesia (Federated States of)","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Europe","Monaco","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Western Pacific","Mongolia","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Europe","Romania","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","Saint Kitts and Nevis","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","Saint Lucia","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","Saint Vincent and the Grenadines","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","United States of America","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Western Pacific","Vanuatu","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Western Pacific","Viet Nam","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Eastern Mediterranean","Yemen","No","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","Argentina","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Europe","Estonia","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Africa","Ethiopia","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Western Pacific","Fiji","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Europe","France","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Europe","Montenegro","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","South-East Asia","Myanmar","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Europe","Netherlands (Kingdom of the)","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Europe","Norway","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","South-East Asia","Thailand","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Western Pacific","Tonga","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Americas","Trinidad and Tobago","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Europe","Turkiye","Yes","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Africa","Kenya","Yes, but it is only a recommendation","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Eastern Mediterranean","Libya","Yes, but it is only a recommendation","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Eastern Mediterranean","Morocco","Yes, but it is only a recommendation","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Eastern Mediterranean","Oman","Yes, but it is only a recommendation","","","","","",""
"Availability of national list of approved medical devices for procurement or reimbursement","Published","2013","Eastern Mediterranean","Pakistan","Yes, but it is only a recommendation","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Azerbaijan","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Americas","Bahamas","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Americas","Barbados","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Americas","Belize","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Africa","Democratic Republic of the Congo","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Denmark","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Americas","Dominica","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Americas","El Salvador","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Americas","Haiti","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Iceland","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Israel","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Americas","Jamaica","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Western Pacific","Japan","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Western Pacific","Mongolia","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Eastern Mediterranean","Morocco","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Western Pacific","Nauru","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","South-East Asia","Nepal","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Serbia","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Africa","Seychelles","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Western Pacific","Singapore","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Slovakia","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Western Pacific","Viet Nam","No","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Albania","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Americas","Argentina","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Austria","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Western Pacific","China","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Africa","Cote d'Ivoire","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Croatia","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Americas","Cuba","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Eastern Mediterranean","Iraq","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Ireland","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Italy","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Eastern Mediterranean","Jordan","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","South-East Asia","Myanmar","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Western Pacific","New Zealand","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Norway","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Eastern Mediterranean","Oman","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","South-East Asia","Sri Lanka","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Europe","Tajikistan","Yes","","","","","",""
