"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"New HIV infections (per 1000 uninfected population)","Published","1991","Africa","Rwanda","Male","3.98 [3.02–5.23]","3.98000","3.02000","5.23000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Americas","Trinidad and Tobago","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Africa","Zimbabwe","Male","24.5 [17.35–34.81]","24.50000","17.35000","34.81000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Americas","Barbados","Male","0.39 [0.11–0.72]","0.39000","0.11000","0.72000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Europe","Belgium","Male","0.07 [0.06–0.1]","0.07000","0.06000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Americas","Belize","Male","0.21 [<0.01–0.56]","0.21000","0.01000","0.56000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Africa","Chad","Male","1.31 [0.83–2.21]","1.31000","0.83000","2.21000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Europe","Denmark","Male","0.11 [0.09–0.12]","0.11000","0.09000","0.12000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Europe","Georgia","Male","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Europe","Greece","Male","0.07 [0.07–0.08]","0.07000","0.07000","0.08000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Europe","Ireland","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Europe","Lithuania","Male","0.04 [0.04–0.05]","0.04000","0.04000","0.05000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Africa","Mozambique","Male","2.68 [2.08–3.36]","2.68000","2.08000","3.36000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","South-East Asia","Myanmar","Male","0.48 [0.41–0.55]","0.48000","0.41000","0.55000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Western Pacific","Samoa","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Eastern Mediterranean","Saudi Arabia","Male","0.03 [0.02–0.05]","0.03000","0.02000","0.05000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Eastern Mediterranean","Sudan","Male","0.07 [0.04–0.12]","0.07000","0.04000","0.12000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Europe","Switzerland","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Europe","Ukraine","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Americas","United States of America","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","2022","South-East Asia","","Male","0.07 [0.05–0.09]","0.07000","0.05000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Americas","","Male","0.24 [0.2–0.3]","0.24000","0.20000","0.30000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","South-East Asia","","Male","0.1 [0.07–0.13]","0.10000","0.07000","0.13000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Africa","","Male","1.04 [0.74–1.48]","1.04000","0.74000","1.48000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Africa","","Male","1.25 [0.88–1.77]","1.25000","0.88000","1.77000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","Europe","","Male","0.24 [0.2–0.29]","0.24000","0.20000","0.29000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Europe","","Male","0.22 [0.18–0.26]","0.22000","0.18000","0.26000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Global","","Male","0.32 [0.24–0.42]","0.32000","0.24000","0.42000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2007","Africa","","Male","1.8 [1.27–2.56]","1.80000","1.27000","2.56000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2007","Eastern Mediterranean","","Male","0.08 [0.06–0.1]","0.08000","0.06000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2003","South-East Asia","","Male","0.22 [0.16–0.29]","0.22000","0.16000","0.29000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2002","Global","","Male","0.42 [0.32–0.55]","0.42000","0.32000","0.55000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2000","Eastern Mediterranean","","Male","0.04 [0.03–0.05]","0.04000","0.03000","0.05000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Eastern Mediterranean","","Male","0.03 [0.03–0.04]","0.03000","0.03000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Europe","","Male","0.14 [0.12–0.17]","0.14000","0.12000","0.17000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Western Pacific","","Male","0.1 [0.07–0.13]","0.10000","0.07000","0.13000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Americas","","Male","0.3 [0.25–0.37]","0.30000","0.25000","0.37000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Western Pacific","","Male","0.03 [0.02–0.04]","0.03000","0.02000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2021","Global","","Female","0.17 [0.13–0.24]","0.17000","0.13000","0.24000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2021","Americas","","Female","0.08 [0.07–0.1]","0.08000","0.07000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","South-East Asia","","Female","0.05 [0.04–0.07]","0.05000","0.04000","0.07000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","Western Pacific","","Female","0.04 [0.03–0.05]","0.04000","0.03000","0.05000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Western Pacific","","Female","0.04 [0.03–0.05]","0.04000","0.03000","0.05000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Africa","","Female","1.37 [0.98–1.93]","1.37000","0.98000","1.93000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Americas","","Female","0.09 [0.07–0.11]","0.09000","0.07000","0.11000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Americas","","Female","0.09 [0.07–0.11]","0.09000","0.07000","0.11000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","South-East Asia","","Female","0.08 [0.06–0.12]","0.08000","0.06000","0.12000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Africa","","Female","2.15 [1.53–3.01]","2.15000","1.53000","3.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2007","Americas","","Female","0.11 [0.09–0.13]","0.11000","0.09000","0.13000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2007","Europe","","Female","0.08 [0.07–0.1]","0.08000","0.07000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2007","South-East Asia","","Female","0.12 [0.09–0.17]","0.12000","0.09000","0.17000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2004","Global","","Female","0.41 [0.3–0.57]","0.41000","0.30000","0.57000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2002","Africa","","Female","3.25 [2.32–4.57]","3.25000","2.32000","4.57000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2002","Europe","","Female","0.07 [0.05–0.08]","0.07000","0.05000","0.08000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2000","Europe","","Female","0.07 [0.05–0.08]","0.07000","0.05000","0.08000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Global","","Female","0.52 [0.38–0.72]","0.52000","0.38000","0.72000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Global","","Female","0.57 [0.42–0.78]","0.57000","0.42000","0.78000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Africa","","Female","4.16 [2.97–5.85]","4.16000","2.97000","5.85000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Eastern Mediterranean","","Female","0.02 [0.02–0.03]","0.02000","0.02000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","Western Pacific","","Female","0.01 [<0.01–0.02]","0.01000","0.01000","0.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Global","","Female","0.53 [0.39–0.73]","0.53000","0.39000","0.73000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Global","","Female","0.44 [0.32–0.6]","0.44000","0.32000","0.60000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2000","Global","","Both sexes","0.48 [0.36-0.63]","0.48000","0.36000","0.63000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2003","Global","","Both sexes","0.42 [0.31-0.55]","0.42000","0.31000","0.55000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Global","","Both sexes","0.23 [0.17-0.30]","0.23000","0.17000","0.30000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Global","","Both sexes","0.19 [0.14-0.26]","0.19000","0.14000","0.26000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2001","Africa","","Both sexes","3.02 [2.15-4.21]","3.02000","2.15000","4.21000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2004","Africa","","Both sexes","2.57 [1.82-3.57]","2.57000","1.82000","3.57000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Americas","","Both sexes","0.16 [0.13-0.19]","0.16000","0.13000","0.19000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2001","Eastern Mediterranean","","Both sexes","0.03 [0.03-0.04]","0.03000","0.03000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2004","Eastern Mediterranean","","Both sexes","0.05 [0.04-0.06]","0.05000","0.04000","0.06000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Eastern Mediterranean","","Both sexes","0.06 [0.05-0.08]","0.06000","0.05000","0.08000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2021","Eastern Mediterranean","","Both sexes","0.07 [0.06-0.09]","0.07000","0.06000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2003","Europe","","Both sexes","0.11 [0.09-0.13]","0.11000","0.09000","0.13000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2005","Europe","","Both sexes","0.12 [0.10-0.14]","0.12000","0.10000","0.14000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2004","South-East Asia","","Both sexes","0.17 [0.13-0.24]","0.17000","0.13000","0.24000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2019","South-East Asia","","Both sexes","0.07 [0.05-0.09]","0.07000","0.05000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2021","South-East Asia","","Both sexes","0.06 [0.04-0.08]","0.06000","0.04000","0.08000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2005","Western Pacific","","Both sexes","0.07 [0.05-0.09]","0.07000","0.05000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Western Pacific","","Both sexes","0.07 [0.05-0.09]","0.07000","0.05000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2022","Western Pacific","","Both sexes","0.07 [0.05-0.10]","0.07000","0.05000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","Western Pacific","Malaysia","Male","0.45 [0.38–0.52]","0.45000","0.38000","0.52000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","Europe","Malta","Male","0.02 [0.01–0.03]","0.02000","0.01000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","South-East Asia","Nepal","Male","0.02 [0.02–0.03]","0.02000","0.02000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","Americas","Nicaragua","Male","0.07 [0.03–0.26]","0.07000","0.03000","0.26000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","Europe","Poland","Male","0.03 [0.02–0.03]","0.03000","0.02000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","Europe","Portugal","Male","0.53 [0.42–0.61]","0.53000","0.42000","0.61000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","Western Pacific","Republic of Korea","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","Europe","Slovakia","Male","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","Europe","United Kingdom of Great Britain and Northern Ireland","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","Americas","Venezuela (Bolivarian Republic of)","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Europe","Azerbaijan","Male","0.01 [<0.01–0.02]","0.01000","0.01000","0.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Eastern Mediterranean","Bahrain","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Africa","Burkina Faso","Male","1.96 [1.42–2.49]","1.96000","1.42000","2.49000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Western Pacific","Cambodia","Male","0.36 [0.3–0.41]","0.36000","0.30000","0.41000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Europe","Cyprus","Male","0.05 [0.04–0.07]","0.05000","0.04000","0.07000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","South-East Asia","Democratic People's Republic of Korea","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","South-East Asia","India","Male","0 [0–0]","0.00000","0.00000","0.00000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Eastern Mediterranean","Lebanon","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Europe","Monaco","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Western Pacific","Mongolia","Male","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Eastern Mediterranean","Oman","Male","0.04 [0.03–0.04]","0.04000","0.03000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Africa","Rwanda","Male","3.99 [3.13–5.02]","3.99000","3.13000","5.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Africa","South Africa","Male","5.94 [3.99–8.75]","5.94000","3.99000","8.75000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Europe","Turkiye","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Europe","Turkmenistan","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Africa","Zimbabwe","Male","23.62 [16.73–33.57]","23.62000","16.73000","33.57000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Europe","Albania","Male","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Europe","Belgium","Male","0.07 [0.06–0.09]","0.07000","0.06000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Africa","Benin","Male","0.96 [0.65–1.29]","0.96000","0.65000","1.29000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","South-East Asia","Bhutan","Male","<0.01 [<0.01–0.03]","0.01000","0.01000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Americas","Dominica","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Africa","Ghana","Male","1.79 [1.42–2.34]","1.79000","1.42000","2.34000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Europe","Italy","Male","0.15 [0.12–0.19]","0.15000","0.12000","0.19000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Americas","Jamaica","Male","1.35 [1.19–1.49]","1.35000","1.19000","1.49000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Africa","Madagascar","Male","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Western Pacific","Nauru","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Western Pacific","Papua New Guinea","Male","0.1 [0.06–0.15]","0.10000","0.06000","0.15000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Africa","Sao Tome and Principe","Male","3.24 [1.78–4.56]","3.24000","1.78000","4.56000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Europe","Serbia","Male","0.02 [0.01–0.02]","0.02000","0.01000","0.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Europe","Sweden","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Europe","Switzerland","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Europe","Tajikistan","Male","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Africa","United Republic of Tanzania","Male","6.15 [5.35–7.33]","6.15000","5.35000","7.33000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Europe","Bulgaria","Male","0.02 [0.02–0.03]","0.02000","0.02000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Western Pacific","Cook Islands","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Americas","Costa Rica","Male","0.1 [0.09–0.11]","0.10000","0.09000","0.11000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Europe","Croatia","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Africa","Eritrea","Male","1.13 [0.6–1.72]","1.13000","0.60000","1.72000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Africa","Ethiopia","Male","2.61 [1.27–5.84]","2.61000","1.27000","5.84000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Americas","Guyana","Male","0.07 [0.02–0.32]","0.07000","0.02000","0.32000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Europe","Hungary","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Western Pacific","Lao People's Democratic Republic","Male","<0.01 [<0.01–<0.01]","0.01000","0.01000","0.01000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Africa","Mauritania","Male","0.27 [0.17–0.44]","0.27000","0.17000","0.44000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Africa","Nigeria","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Western Pacific","Republic of Korea","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Europe","Romania","Male","0.08 [0.08–0.09]","0.08000","0.08000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Western Pacific","Singapore","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Western Pacific","Solomon Islands","Male","No data","","","","","",""
"New HIV infections (per 1000 uninfected population)","Published","1990","Eastern Mediterranean","Yemen","Male","0.02 [<0.01–0.02]","0.02000","0.01000","0.02000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2021","South-East Asia","","Male","0.07 [0.05–0.1]","0.07000","0.05000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Global","","Male","0.2 [0.15–0.26]","0.20000","0.15000","0.26000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Eastern Mediterranean","","Male","0.08 [0.07–0.11]","0.08000","0.07000","0.11000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Europe","","Male","0.26 [0.21–0.31]","0.26000","0.21000","0.31000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2016","Western Pacific","","Male","0.1 [0.07–0.13]","0.10000","0.07000","0.13000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Eastern Mediterranean","","Male","0.07 [0.06–0.09]","0.07000","0.06000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Eastern Mediterranean","","Male","0.07 [0.05–0.08]","0.07000","0.05000","0.08000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Western Pacific","","Male","0.1 [0.07–0.13]","0.10000","0.07000","0.13000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2009","Western Pacific","","Male","0.1 [0.07–0.13]","0.10000","0.07000","0.13000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2006","Americas","","Male","0.27 [0.22–0.32]","0.27000","0.22000","0.32000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2006","Eastern Mediterranean","","Male","0.08 [0.06–0.1]","0.08000","0.06000","0.10000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2004","Eastern Mediterranean","","Male","0.07 [0.05–0.09]","0.07000","0.05000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2004","South-East Asia","","Male","0.2 [0.15–0.27]","0.20000","0.15000","0.27000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2002","Western Pacific","","Male","0.1 [0.07–0.13]","0.10000","0.07000","0.13000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2001","Americas","","Male","0.3 [0.24–0.36]","0.30000","0.24000","0.36000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1999","Americas","","Male","0.31 [0.25–0.37]","0.31000","0.25000","0.37000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","South-East Asia","","Male","0.49 [0.36–0.66]","0.49000","0.36000","0.66000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Africa","","Male","3.28 [2.31–4.67]","3.28000","2.31000","4.67000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1994","Africa","","Male","3.46 [2.44–4.93]","3.46000","2.44000","4.93000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1994","Europe","","Male","0.11 [0.09–0.13]","0.11000","0.09000","0.13000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Europe","","Male","0.1 [0.08–0.12]","0.10000","0.08000","0.12000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","South-East Asia","","Male","0.58 [0.42–0.78]","0.58000","0.42000","0.78000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Africa","","Female","0.94 [0.67–1.32]","0.94000","0.67000","1.32000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2020","Europe","","Female","0.11 [0.09–0.14]","0.11000","0.09000","0.14000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2018","Europe","","Female","0.11 [0.09–0.13]","0.11000","0.09000","0.13000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2017","Global","","Female","0.23 [0.17–0.31]","0.23000","0.17000","0.31000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Global","","Female","0.25 [0.18–0.35]","0.25000","0.18000","0.35000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2015","Eastern Mediterranean","","Female","0.03 [0.02–0.04]","0.03000","0.02000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Eastern Mediterranean","","Female","0.03 [0.02–0.04]","0.03000","0.02000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Europe","","Female","0.1 [0.08–0.12]","0.10000","0.08000","0.12000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2013","Western Pacific","","Female","0.04 [0.03–0.05]","0.04000","0.03000","0.05000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2006","Western Pacific","","Female","0.04 [0.03–0.06]","0.04000","0.03000","0.06000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2004","Western Pacific","","Female","0.04 [0.03–0.06]","0.04000","0.03000","0.06000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2003","Global","","Female","0.43 [0.31–0.59]","0.43000","0.31000","0.59000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2003","Americas","","Female","0.13 [0.11–0.15]","0.13000","0.11000","0.15000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2001","Americas","","Female","0.13 [0.11–0.16]","0.13000","0.11000","0.16000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2001","South-East Asia","","Female","0.2 [0.14–0.27]","0.20000","0.14000","0.27000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1998","Africa","","Female","3.99 [2.85–5.61]","3.99000","2.85000","5.61000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Americas","","Female","0.15 [0.12–0.18]","0.15000","0.12000","0.18000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1994","South-East Asia","","Female","0.38 [0.27–0.53]","0.38000","0.27000","0.53000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1991","Africa","","Female","4.18 [2.98–5.88]","4.18000","2.98000","5.88000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1992","Global","","Both sexes","0.54 [0.40-0.71]","0.54000","0.40000","0.71000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1994","Global","","Both sexes","0.59 [0.44-0.78]","0.59000","0.44000","0.78000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Global","","Both sexes","0.58 [0.44-0.77]","0.58000","0.44000","0.77000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Global","","Both sexes","0.30 [0.23-0.40]","0.30000","0.23000","0.40000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","Africa","","Both sexes","4.00 [2.84-5.57]","4.00000","2.84000","5.57000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2010","Africa","","Both sexes","1.75 [1.24-2.44]","1.75000","1.24000","2.44000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1994","Americas","","Both sexes","0.22 [0.18-0.27]","0.22000","0.18000","0.27000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Americas","","Both sexes","0.23 [0.19-0.27]","0.23000","0.19000","0.27000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Americas","","Both sexes","0.17 [0.14-0.21]","0.17000","0.14000","0.21000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1993","Eastern Mediterranean","","Both sexes","0.02 [0.02-0.03]","0.02000","0.02000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","Eastern Mediterranean","","Both sexes","0.03 [0.02-0.03]","0.03000","0.02000","0.03000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1996","Eastern Mediterranean","","Both sexes","0.03 [0.02-0.04]","0.03000","0.02000","0.04000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1994","Europe","","Both sexes","0.07 [0.06-0.09]","0.07000","0.06000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Europe","","Both sexes","0.10 [0.09-0.12]","0.10000","0.09000","0.12000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Europe","","Both sexes","0.16 [0.14-0.19]","0.16000","0.14000","0.19000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1995","South-East Asia","","Both sexes","0.49 [0.36-0.66]","0.49000","0.36000","0.66000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2012","South-East Asia","","Both sexes","0.10 [0.08-0.14]","0.10000","0.08000","0.14000","","",""
"New HIV infections (per 1000 uninfected population)","Published","1997","Western Pacific","","Both sexes","0.07 [0.05-0.09]","0.07000","0.05000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2011","Western Pacific","","Both sexes","0.07 [0.05-0.09]","0.07000","0.05000","0.09000","","",""
"New HIV infections (per 1000 uninfected population)","Published","2014","Western Pacific","","Both sexes","0.07 [0.05-0.09]","0.07000","0.05000","0.09000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Africa","","","3.2 [2.7-3.7]","3.20000","2.70000","3.70000","","",""
"Prevalence of HIV among adults aged 15 to 49 (%)","Published","2022","Eastern Mediterranean","","","0.1 [<0.1-0.1]","0.10000","0.10000","0.10000","","",""
